,score
407,-355.0
408,-185.0
409,-350.0
410,-15.0
411,-520.0
412,-25.0
413,-360.0
414,-128.0
415,-15.0
416,-360.0
417,-185.0
418,-31.0
419,-90.0
420,-170.0
421,-700.0
422,-710.0
423,-64.0
424,-180.0
425,-720.0
426,-72.0
427,-15.0
428,-710.0
429,-80.0
430,-360.0
431,-25.0
432,-14.999999999999998
433,-226.66666666666626
434,-350.0
435,-128.0
436,-233.3333333333329
437,-62.0
438,-700.0
439,-18.333333333333332
440,-130.0
441,-134.0
442,-710.0
443,-92.5
444,-60.0
445,-250.0
446,-350.0
447,-700.0
448,-720.0
449,-1060.0
450,-350.0
451,-355.0
452,-196.0
453,-90.0
454,-172.5
455,-76.0
456,-350.0
457,-60.0
458,-14.999999999999998
459,-340.00000000000034
460,-233.3333333333329
461,-123.33333333333346
462,-20.0
463,-170.0
464,-370.0
465,-62.0
466,-175.0
467,-74.0
468,-223.33333333333294
469,-370.0
470,-15.0
471,-87.5
472,-128.0
473,-355.0
474,-70.0
475,-120.00000000000011
476,-128.0
477,-170.0
478,-700.0
479,-250.0
480,-70.0
481,-17.0
482,-350.0
483,-116.66666666666677
484,-134.0
485,-113.33333333333343
486,-345.0
487,-134.0
488,-180.0
489,-74.0
490,-340.00000000000034
491,-167.5
492,-25.0
493,-1060.0
494,-110.00000000000009
495,-68.0
496,-172.5
497,-162.5
498,-30.0
499,-128.0
500,-165.0
