,score
408,-14.999999999999998
409,-11.666666666666666
410,-10.0
411,-5.0
412,-21.0
413,-35.0
414,-18.333333333333332
415,-9.0
416,-25.0
417,-17.5
418,-8.333333333333334
419,-14.999999999999998
420,0.0
421,-21.0
422,-15.0
423,-15.0
424,-5.0
425,-25.0
426,-11.666666666666666
427,-17.0
428,-13.0
429,-8.333333333333334
430,-8.333333333333334
431,-35.0
432,-8.333333333333334
433,-15.0
434,10.0
435,-15.0
436,-10.0
437,-12.5
438,-11.666666666666666
439,-25.000000000000004
440,-15.0
441,-15.0
442,-5.0
443,-10.0
444,-14.999999999999998
445,-7.5
446,-17.5
447,-10.0
448,-5.0
449,-25.0
450,-5.0
451,-15.0
452,-18.333333333333332
453,0.0
454,-5.0
455,-19.0
456,-13.0
457,-10.0
458,-19.0
459,-15.0
460,-15.0
461,-11.666666666666666
462,-25.000000000000004
463,-13.0
464,-21.666666666666668
465,-14.999999999999998
466,-5.0
467,-15.0
468,-15.0
469,-20.0
470,-13.0
471,-27.0
472,-15.0
473,-15.0
474,-14.999999999999998
475,-12.5
476,-11.0
477,-10.0
478,-12.5
479,-14.999999999999998
480,-14.999999999999998
481,-9.0
482,-21.666666666666668
483,-17.0
484,-14.999999999999998
485,-15.0
486,0.0
487,-25.0
488,-20.0
489,-9.0
490,-14.999999999999998
491,-15.0
492,-15.0
493,-17.0
494,-15.0
495,-21.666666666666668
496,-15.0
497,-15.0
498,-9.0
499,-28.33333333333334
500,-20.0
501,-8.333333333333334
502,-19.0
503,-9.0
504,-23.0
505,-9.0
506,-19.0
507,-13.0
508,-13.0
509,-18.333333333333332
510,-8.333333333333334
511,-15.0
512,-5.0
513,-8.333333333333334
514,-17.5
515,-5.0
516,-17.5
517,-20.0
518,-12.5
519,-15.0
520,-15.0
521,-20.0
522,-11.666666666666666
523,-15.0
524,-10.0
525,-10.0
526,2.5
527,-9.0
528,-13.0
529,0.0
530,10.0
531,-15.0
532,-12.5
533,10.0
534,-15.0
535,-15.0
536,-17.0
537,-5.0
538,-10.0
539,-15.0
540,-12.5
541,-5.0
542,-18.333333333333332
